,Subject,Time,Task,ReactionTime,Performance
228,4477.0,3sec,Absolute,2.3076576215249514,0.7407407407407407
229,4477.0,3sec,Pointing,2.212577238678933,0.53125
230,4477.0,3sec,Relative,1.9336756723267683,0.6785714285714286
231,4477.0,Infinite,Absolute,2.3076576215249514,0.7407407407407407
232,4477.0,Infinite,Pointing,6.148669733319967,0.5142857142857142
233,4477.0,Infinite,Relative,4.196455193890466,0.6111111111111112
234,4608.0,3sec,Absolute,2.067042441929089,0.47058823529411764
235,4608.0,3sec,Pointing,2.1436269129476235,0.41935483870967744
236,4608.0,3sec,Relative,1.8713080678667344,0.5428571428571428
237,4608.0,Infinite,Absolute,2.067042441929089,0.47058823529411764
238,4608.0,Infinite,Pointing,8.191543957282756,0.41379310344827586
239,4608.0,Infinite,Relative,4.9010074210889405,0.5454545454545454
240,4666.0,3sec,Absolute,1.426246547698974,0.5
241,4666.0,3sec,Pointing,1.0935751001040144,0.75
242,4666.0,3sec,Relative,1.4360808710898119,0.3870967741935484
243,4666.0,Infinite,Absolute,1.426246547698974,0.5
244,4666.0,Infinite,Pointing,0.9627074665493444,0.5277777777777778
245,4666.0,Infinite,Relative,0.6111258135901555,0.4166666666666667
246,4668.0,3sec,Absolute,2.043634515820128,0.3333333333333333
247,4668.0,3sec,Pointing,1.4618263906902738,0.5833333333333334
248,4668.0,3sec,Relative,1.83108538196933,0.4838709677419355
249,4668.0,Infinite,Absolute,2.043634515820128,0.3333333333333333
250,4668.0,Infinite,Pointing,3.866745803091262,0.5555555555555556
251,4668.0,Infinite,Relative,4.650160054365795,0.4722222222222222
252,4683.0,3sec,Absolute,1.6995202653548305,0.4411764705882353
253,4683.0,3sec,Pointing,1.8430464335850303,0.34285714285714286
254,4683.0,3sec,Relative,1.427324102984535,0.5833333333333334
255,4683.0,Infinite,Absolute,1.6995202653548305,0.4411764705882353
256,4683.0,Infinite,Pointing,2.1414526237381835,0.5277777777777778
257,4683.0,Infinite,Relative,3.3399604956308995,0.6666666666666666
258,4684.0,3sec,Absolute,2.25825862226815,0.5862068965517241
259,4684.0,3sec,Pointing,1.5533204525709157,0.625
260,4684.0,3sec,Relative,1.8747413158416748,0.45714285714285713
261,4684.0,Infinite,Absolute,2.25825862226815,0.5862068965517241
262,4684.0,Infinite,Pointing,3.1935770975218873,0.4444444444444444
263,4684.0,Infinite,Relative,3.368822322951423,0.4166666666666667
264,4749.0,3sec,Absolute,1.9533218542734783,0.5555555555555556
265,4749.0,3sec,Pointing,1.8813396824730764,0.5555555555555556
266,4749.0,3sec,Relative,1.7672087533133372,0.8
267,4749.0,Infinite,Absolute,1.9533218542734783,0.5555555555555556
268,4749.0,Infinite,Pointing,7.775671981996102,0.4838709677419355
269,4749.0,Infinite,Relative,5.091638515977297,0.7647058823529411
270,4875.0,3sec,Absolute,2.50838820139567,0.4583333333333333
271,4875.0,3sec,Pointing,2.135866761207581,0.375
272,4875.0,3sec,Relative,1.982395509193684,0.7586206896551724
273,4875.0,Infinite,Absolute,2.50838820139567,0.4583333333333333
274,4875.0,Infinite,Pointing,4.481988158490923,0.6944444444444444
275,4875.0,Infinite,Relative,4.782515625158947,0.5555555555555556
276,4931.0,3sec,Absolute,1.414677514749415,0.5
277,4931.0,3sec,Pointing,1.8117661680494037,0.5428571428571428
278,4931.0,3sec,Relative,1.4838784337043762,0.4444444444444444
279,4931.0,Infinite,Absolute,1.414677514749415,0.5
280,4931.0,Infinite,Pointing,5.602579534053803,0.5555555555555556
281,4931.0,Infinite,Relative,3.257023790904454,0.42857142857142855
282,5046.0,3sec,Absolute,1.4196418485333842,0.5483870967741935
283,5046.0,3sec,Pointing,1.3041045245002303,0.6470588235294118
284,5046.0,3sec,Relative,1.3313307694026406,0.6
285,5046.0,Infinite,Absolute,1.4196418485333842,0.5483870967741935
286,5046.0,Infinite,Pointing,1.7494279874695673,0.5555555555555556
287,5046.0,Infinite,Relative,1.2482687897152376,0.6111111111111112
288,5059.0,3sec,Absolute,2.0379332145055122,0.6333333333333333
289,5059.0,3sec,Pointing,1.7942817509174358,0.4375
290,5059.0,3sec,Relative,2.0022889165317315,0.47058823529411764
291,5059.0,Infinite,Absolute,2.0379332145055122,0.6333333333333333
292,5059.0,Infinite,Pointing,3.508038633399539,0.5555555555555556
293,5059.0,Infinite,Relative,2.736635035938687,0.4166666666666667
294,5171.0,3sec,Absolute,1.68294927733285,0.5714285714285714
295,5171.0,3sec,Pointing,1.9437627196311962,0.5277777777777778
296,5171.0,3sec,Relative,1.4091738329993357,0.5555555555555556
297,5171.0,Infinite,Absolute,1.68294927733285,0.5714285714285714
298,5171.0,Infinite,Pointing,4.411214431126912,0.4722222222222222
299,5171.0,Infinite,Relative,3.488944629828135,0.5
300,5226.0,3sec,Absolute,1.540056078774589,0.5714285714285714
301,5226.0,3sec,Pointing,1.5573018656836615,0.6111111111111112
302,5226.0,3sec,Relative,1.5431319986070897,0.5714285714285714
303,5226.0,Infinite,Absolute,1.540056078774589,0.5714285714285714
304,5226.0,Infinite,Pointing,2.963770927701678,0.37142857142857144
305,5226.0,Infinite,Relative,3.661487731668686,0.5277777777777778
306,5296.0,3sec,Absolute,2.0154813289642344,0.6857142857142857
307,5296.0,3sec,Pointing,1.9481197403323278,0.3548387096774194
308,5296.0,3sec,Relative,1.8891937509179113,0.46875
309,5296.0,Infinite,Absolute,2.0154813289642344,0.6857142857142857
310,5296.0,Infinite,Pointing,5.301001233213087,0.6764705882352942
311,5296.0,Infinite,Relative,4.5630338260105665,0.5714285714285714
312,5542.0,3sec,Absolute,1.4114862716559202,0.42424242424242425
313,5542.0,3sec,Pointing,1.2641339013070758,0.45454545454545453
314,5542.0,3sec,Relative,1.0617688372731209,0.5
315,5542.0,Infinite,Absolute,1.4114862716559202,0.42424242424242425
316,5542.0,Infinite,Pointing,1.1199160152011447,0.5277777777777778
317,5542.0,Infinite,Relative,0.7865572637981841,0.5277777777777778
318,5660.0,3sec,Absolute,1.3898373912362492,0.4411764705882353
319,5660.0,3sec,Pointing,1.069554177197543,0.5454545454545454
320,5660.0,3sec,Relative,0.9990917444229124,0.5
321,5660.0,Infinite,Absolute,1.3898373912362492,0.4411764705882353
322,5660.0,Infinite,Pointing,1.2547849681642322,0.5833333333333334
323,5660.0,Infinite,Relative,1.5476229389508562,0.5277777777777778
324,5891.0,3sec,Absolute,1.8812287534986227,0.5714285714285714
325,5891.0,3sec,Pointing,1.9897283105289234,0.5588235294117647
326,5891.0,3sec,Relative,2.011621390619586,0.4838709677419355
327,5891.0,Infinite,Absolute,1.8812287534986227,0.5714285714285714
328,5891.0,Infinite,Pointing,4.535319990581936,0.4722222222222222
329,5891.0,Infinite,Relative,4.559879296355778,0.5
330,5904.0,3sec,Absolute,2.1162957325577736,0.46875
331,5904.0,3sec,Pointing,1.7608598640986852,0.5428571428571428
332,5904.0,3sec,Relative,1.8875547817775185,0.6
333,5904.0,Infinite,Absolute,2.1162957325577736,0.46875
334,5904.0,Infinite,Pointing,2.4065068827735043,0.5277777777777778
335,5904.0,Infinite,Relative,1.5638697147369391,0.5
336,5964.0,3sec,Absolute,2.054474304704105,0.4411764705882353
337,5964.0,3sec,Pointing,2.2482526166098453,0.6857142857142857
338,5964.0,3sec,Relative,2.202330423123908,0.5151515151515151
339,5964.0,Infinite,Absolute,2.054474304704105,0.4411764705882353
340,5964.0,Infinite,Pointing,2.1328313946723942,0.4722222222222222
341,5964.0,Infinite,Relative,3.4972845315933228,0.4444444444444444
342,6157.0,3sec,Absolute,1.948524125984737,0.42857142857142855
343,6157.0,3sec,Pointing,2.0125818157196047,0.48
344,6157.0,3sec,Relative,1.9336385550322353,0.4074074074074074
345,6157.0,Infinite,Absolute,1.948524125984737,0.42857142857142855
346,6157.0,Infinite,Pointing,4.340927514764997,0.6666666666666666
347,6157.0,Infinite,Relative,5.233914844917528,0.5454545454545454
348,6298.0,3sec,Absolute,1.8076677918434145,0.4642857142857143
349,6298.0,3sec,Pointing,1.7331883977441238,0.6470588235294118
350,6298.0,3sec,Relative,1.6747371196746832,0.5142857142857142
351,6298.0,Infinite,Absolute,1.8076677918434145,0.4642857142857143
352,6298.0,Infinite,Pointing,4.95713954260855,0.5454545454545454
353,6298.0,Infinite,Relative,4.63820920271032,0.5882352941176471
354,6318.0,3sec,Absolute,2.159851045319528,0.6060606060606061
355,6318.0,3sec,Pointing,2.0744949687610967,0.5454545454545454
356,6318.0,3sec,Relative,1.4658100060054229,0.4857142857142857
357,6318.0,Infinite,Absolute,2.159851045319528,0.6060606060606061
358,6318.0,Infinite,Pointing,2.669479264153374,0.5555555555555556
359,6318.0,Infinite,Relative,1.9035082923041446,0.6111111111111112
360,6449.0,3sec,Absolute,2.0755908561475342,0.48484848484848486
361,6449.0,3sec,Pointing,2.142641973495484,0.5714285714285714
362,6449.0,3sec,Relative,2.0011860234396797,0.6857142857142857
363,6449.0,Infinite,Absolute,2.0755908561475342,0.48484848484848486
364,6449.0,Infinite,Pointing,6.32080889517261,0.7419354838709677
365,6449.0,Infinite,Relative,4.187503583290997,0.5294117647058824
366,6452.0,3sec,Absolute,1.7441697451803417,0.5555555555555556
367,6452.0,3sec,Pointing,1.7916112086352172,0.4117647058823529
368,6452.0,3sec,Relative,1.7624137931399875,0.3888888888888889
369,6452.0,Infinite,Absolute,1.7441697451803417,0.5555555555555556
370,6452.0,Infinite,Pointing,6.875589410463967,0.6388888888888888
371,6452.0,Infinite,Relative,6.3084137704637335,0.5277777777777778
372,6506.0,3sec,Absolute,1.8740590600406417,0.6470588235294118
373,6506.0,3sec,Pointing,1.8206269811181464,0.5294117647058824
374,6506.0,3sec,Relative,1.6897201802995463,0.6388888888888888
375,6506.0,Infinite,Absolute,1.8740590600406417,0.6470588235294118
376,6506.0,Infinite,Pointing,2.7587556640307107,0.5277777777777778
377,6506.0,Infinite,Relative,2.073058750894335,0.5277777777777778
378,6513.0,3sec,Absolute,1.1032212880941545,0.6923076923076923
379,6513.0,3sec,Pointing,0.8042710542678835,0.5
380,6513.0,3sec,Relative,1.7631099802075005,0.48484848484848486
381,6513.0,Infinite,Absolute,1.1032212880941545,0.6923076923076923
382,6513.0,Infinite,Pointing,0.6924928824106851,0.3611111111111111
383,6513.0,Infinite,Relative,1.5275550219747753,0.5555555555555556
384,6646.0,3sec,Absolute,1.252521835524461,0.5172413793103449
385,6646.0,3sec,Pointing,1.125134421719445,0.5833333333333334
386,6646.0,3sec,Relative,0.9719254255294796,0.5333333333333333
